AKG7VBOY97HKA:3AUQQEL7U9QL6AM019KC1QVHMM6V0M,initialized,0,,1580590934322
AKG7VBOY97HKA:3AUQQEL7U9QL6AM019KC1QVHMM6V0M,window_resize,0,"[1024, 767]",1580590934322
AKG7VBOY97HKA:3AUQQEL7U9QL6AM019KC1QVHMM6V0M,window_resize,8726,"[1600, 809]",1580590943048
A2O2Y99RA9GFUJ:3WSELTNVR7Z2UVGTOGHQPEJ9YL4ATA,initialized,0,,1580538179421
A2O2Y99RA9GFUJ:3WSELTNVR7Z2UVGTOGHQPEJ9YL4ATA,window_resize,0,"[1024, 767]",1580538179421
A2O2Y99RA9GFUJ:3WSELTNVR7Z2UVGTOGHQPEJ9YL4ATA,window_resize,5983,"[1440, 808]",1580538185404
A2O2Y99RA9GFUJ:3WSELTNVR7Z2UVGTOGHQPEJ9YL4ATA,focus,16305,off,1580538201709
A2O2Y99RA9GFUJ:3WSELTNVR7Z2UVGTOGHQPEJ9YL4ATA,focus,12095,on,1580538213804
AKNV05F5X5YAC:3U5NZHP4LVZJCQV0D5IY1Q5GMFDHPV,initialized,0,,1580594926221
AKNV05F5X5YAC:3U5NZHP4LVZJCQV0D5IY1Q5GMFDHPV,window_resize,0,"[1024, 726]",1580594926221
AKNV05F5X5YAC:3U5NZHP4LVZJCQV0D5IY1Q5GMFDHPV,focus,197958,off,1580595124179
AKNV05F5X5YAC:3U5NZHP4LVZJCQV0D5IY1Q5GMFDHPV,focus,4249,on,1580595128428
A7T06JMP6BTDS:38SKSKU7R5UTH0RMRV7CKLXBHGNILJ,initialized,0,,1580538614836
A7T06JMP6BTDS:38SKSKU7R5UTH0RMRV7CKLXBHGNILJ,window_resize,0,"[1024, 767]",1580538614836
A7T06JMP6BTDS:38SKSKU7R5UTH0RMRV7CKLXBHGNILJ,window_resize,424204,"[1280, 970]",1580539039040
A7T06JMP6BTDS:38SKSKU7R5UTH0RMRV7CKLXBHGNILJ,focus,260858,off,1580539299898
A7T06JMP6BTDS:38SKSKU7R5UTH0RMRV7CKLXBHGNILJ,window_resize,1128,"[1024, 767]",1580539301026
A7T06JMP6BTDS:38SKSKU7R5UTH0RMRV7CKLXBHGNILJ,window_resize,1009,"[1280, 970]",1580539302035
A7T06JMP6BTDS:38SKSKU7R5UTH0RMRV7CKLXBHGNILJ,focus,1134,on,1580539303169
A28J7H4TH29DC3:3PJ71Z61R8ZNGSUFURJGNDPU0MZ19L,initialized,0,,1580594386557
